codeinsee,name,longitude,latitude
34100,FERRIERES-POUSSAROU,2.8925,43.4858 
34101,FLORENSAC,3.462905,43.382125
34102,FONTANES,3.91426,43.794225
34103,FONTES,3.379627,43.539626
34104,FOS,3.24592,43.570799
34141,LIVINIERE,2.637515,43.315257
34142,LODEVE,3.313975,43.73366
34143,LOUPIAN,3.613867,43.449359
34144,LUNAS,3.195023,43.709075
34145,LUNEL,4.135366,43.67445
34111,GANGES,3.708787,43.934614
34112,GARRIGUES,4.013013,43.797636
34113,GIGEAN,3.721009,43.49767
34114,GIGNAC,3.551364,43.653241
34115,GORNIES,3.629151,43.891704
34170,MONTOULIERS,2.906839,43.335536
34171,MONTOULIEU,3.790882,43.926841
34172,MONTPELLIER,3.876716,43.610769
34173,MONTPEYROUX,3.506458,43.695436
30188,NERS,4.156841,44.027258
30189,NIMES,4.360054,43.836699
30019,AUBAIS,4.14742,43.754854
30190,NOTRE-DAME-DE-LA-ROUVIERE,3.701036,44.048143
30191,ORSAN,4.667744,44.131566
34334,VIEUSSAN,2.976791,43.5409549
30350,VIGAN,3.606322,43.992927
34335,VILLEMAGNE-L'ARGENTIERE,3.120009,43.618049
30351,VILLENEUVE-LES-AVIGNON,4.796959,43.96341
34336,VILLENEUVE-LES-BEZIERS,3.284153,43.320774
34337,VILLENEUVE-LES-MAGUELONE,3.862019,43.532977
34338,VILLENEUVETTE,3.402997,43.612771
34339,VILLESPASSANS,2.915727,43.380645
34340,VILLETELLE,4.139812,43.733941
34341,VILLEVEYRAC,3.606049,43.499587
30352,VILLEVIEILLE,4.097864,43.794979
34342,VIOLS-EN-LAVAL,3.7256,43.7542
34343,VIOLS-LE-FORT,3.704064,43.742497
30353,VISSEC,3.458948,43.899744
34330,VERARGUES,4.100409,43.716449
30343,VERFEUIL,4.445796,44.170397
30344,VERGEZE,4.220695,43.743522
30345,VERNAREDE,4.006832,44.286961
34331,VERRERIES-DE-MOUSSANS,2.684764,43.448939
30346,VERS-PONT-DU-GARD,4.52405,43.9670879
30347,VESTRIC-ET-CANDIAC,4.258625,43.740442
30348,VEZENOBRES,4.13701,44.052407
34332,VIAS,3.418564,43.312489
34333,VIC-LA-GARDIOLE,3.797599,43.490423
30349,VIC-LE-FESQ,4.083147,43.869191
34120,JACOU,3.911453,43.660874
34077,CLAPIERS,3.887951,43.657266
34123,JUVIGNAC,3.812357,43.611297
34169,MONTFERRIER-SUR-LEZ,3.859265,43.671824
34202,PIGNAN,3.761729,43.5819029
34129,LATTES,3.896473,43.567296
30321,SOMMIERES,4.089738,43.78345
34327,VENDARGUES,3.9693,43.656681
30123,GALLARGUES-LE-MONTUEUX,4.173218,43.721683
