BDD,Apache License,BSD License,Cryptix General License,Eclipse Public License,GNU Affero General Public License(AGPL),GNU General Public License(GPL),GNU Lesser General Public License(LGPL),MIT license / X11 license,Mozilla Public License,Proprietary
ObjectFile,0,0,0,0,0,0,0,1,0,0
GemStone/S,0,0,0,0,0,0,0,0,0,1
NeoDatis ODB,0,0,0,0,0,0,1,0,0,0
ObjectDatabase++,0,0,0,0,0,0,0,0,0,1
ObjectDB,0,0,0,0,0,0,0,0,0,1
Objectivity/DB,0,0,0,0,0,0,0,0,0,1
ObjectStore,0,0,0,0,0,0,0,0,0,1
ODABA,0,0,0,0,0,1,0,0,0,0
OpenAccess,0,0,0,0,0,0,0,0,0,1
Picolisp,0,0,0,0,0,0,0,1,0,0
Twig,1,0,0,0,0,0,0,0,0,0
WakandaDB,0,0,0,0,1,0,0,0,0,1
VersantObjectDatabase,0,0,0,0,0,0,0,0,0,1
